TBR,I_st[kg],I_bz[g],I_TES[g],tau_bz[s],eta_TES
1.215,27.85832213,5083,3706.64,703921.265,0.162182308
1.195,25.83729717,5295,746.11,782604.2336,0.794284541
1.155,23.86091269,732,1841.71,109716.6093,0.311215042
1.21,26.13099405,5441,1134.81,789156.7397,0.528533136
1.185,27.22576789,3844,3541.67,546358.3887,0.165648729
1.155,23.07510771,554,952.85,84274.90992,0.601981941
1.16,24.80204662,1622,2187.81,240622.4611,0.262971285
1.16,24.81205959,3113,880.17,472505.6326,0.654079098
1.2,26.1017726,5631,863.27,827285.9058,0.689214503
1.185,26.14861936,5597,785.48,833663.6944,0.748151593
1.155,23.58648357,900,1272.7,136177.7026,0.450541599
1.225,30.98687684,6441,7208.71,838592.1634,0.083821378
1.185,27.7339312,5722,2562.83,826992.2433,0.228976969
1.16,24.34544562,2751,630.51,419364.5605,0.913337362
1.195,28.102974,4929,3880.41,691442.3251,0.152378019
1.155,23.07188532,802,694.68,122589.7966,0.825816977
1.16,24.49563778,2409,1069.44,364401.7482,0.538342435
1.175,25.84292485,5249,585.15,791195.4938,0.996134717
1.245,30.36211959,5386,7853.18,684467.1327,0.078175529
1.215,26.4642961,5760,1360.11,829001.4564,0.44267827
1.205,28.65199885,4183,5583.55,566559.9641,0.10665277
1.155,22.52633365,202,596.54,30854.89029,0.961898081
1.285,36.31342244,6811,18151.21,733647.7203,0.004634224
1.2,25.92866011,5484,767.88,806970.1661,0.774910465
1.165,25.13050834,3867,707.35,586427.1738,0.817303221
1.165,25.39009864,4314,665.45,654687.4728,0.868694705
1.24,29.80144111,4990,7245.81,642066.4525,0.084435846
1.16,24.69504622,2255,1439.73,338884.1449,0.399782649
1.185,26.2983147,3900,2259.77,566332.8971,0.259870403
1.155,23.21121722,968,716.99,147905.2983,0.80006848
1.17,25.79345897,4085,1345.04,610023.82,0.431413827
1.155,22.53131215,180,630.1,27503.57927,0.910647594
1.165,25.4970478,1647,3174.83,239261.459,0.181847028
1.155,23.69147389,268,2172.41,39892.08151,0.263802917
1.17,25.12622686,588,3982.68,83921.85899,0.14553898
1.21,28.46175035,5174,4397.37,711467.5637,0.136068559
1.165,25.15155903,3956,665.06,600331.9303,0.869292208
1.16,24.01582636,1809,993.34,273973.9508,0.579704587
1.19,26.33085522,5562,1072.97,820991.8502,0.549860202
1.175,24.78591024,210,4015.64,29761.41355,0.144954798
1.16,24.20792456,2489,675.11,379075.1267,0.853031118
1.16,24.21160087,2174,925.68,329666.5069,0.622055131
1.18,26.24788999,4491,1666.82,661406.505,0.350952381
1.17,25.94016785,4583,1130.59,687052.7146,0.51324954
1.155,23.83440343,1070,1426.82,161457.9303,0.401808034
1.21,29.35674777,3249,7859.74,423156.438,0.075966692
1.165,25.67949324,2616,2407.25,384986.4774,0.239916154
1.195,28.13531789,4041,4792.25,558414.4407,0.123318935
1.19,27.24353557,4305,3203.9,612891.2139,0.183907788
1.18,26.87447114,4485,2436.41,652049.2932,0.239952526
1.16,24.16577938,1586,1379.7,238485.6665,0.417267069
1.25,32.61406424,4946,12373.61,587263.1128,0.04965443
1.16,25.00059258,3712,637.77,566004.6754,0.90271611
1.155,23.08587119,918,607.23,140496.5392,0.94478719
1.155,23.33275945,678,1168.31,102813.9969,0.490864092
1.16,24.8913696,2852,1176.5,430586.5409,0.489252638
1.19,26.98452699,5682,1745.99,829218.7802,0.33771941
1.155,23.81222387,1922,637.23,294093.2678,0.900053846
1.185,25.46512031,3444,1591.36,505671.3368,0.369246781
1.175,26.60052897,1388,5227.96,193373.5157,0.111202755
1.165,25.43722833,4283,740.84,649094.7392,0.780252068
1.16,24.15365545,1468,1477.09,220402.1798,0.389738837
1.17,25.8989481,2982,2399.51,437146.8926,0.241691286
1.175,25.82515789,4069,1442.59,604002.2884,0.403912146
1.22,30.00341609,5805,6244.64,769740.4102,0.096454525
1.205,29.16305791,6015,4513.9,828827.7914,0.131973293
1.16,24.5637648,3100,611.25,472794.2179,0.942050591
1.155,22.98213385,782,600.05,119771.5186,0.95613454
1.155,23.34009083,848,997.09,128990.0208,0.575208595
1.225,29.36050371,1785,10097.56,222487.1316,0.059779543
1.18,27.2613439,5000,2489.62,726379.7092,0.234779913
1.16,24.26870117,1467,1629.89,219699.8026,0.353158571
1.165,25.64091449,4639,703.86,703542.0897,0.82119404
1.245,31.00498123,1794,13477.07,210405.573,0.015403438
1.27,34.83679609,7044,14478.81,802883.7704,0.043023802
1.17,25.9955614,2099,3429.81,302385.9738,0.168990029
1.155,23.45168341,1115,883.58,169858.2964,0.649115475
1.155,23.59019093,1421,783.83,216936.4533,0.731722386
1.165,25.06478674,3522,892.46,532262.6002,0.647745963
1.16,24.8805566,2713,1276.45,408921.5655,0.450923706
1.16,24.20394145,2008,1052.62,303833.8141,0.547008892
1.19,26.7131201,4940,1989.92,717835.9345,0.296320806
1.16,24.8605748,3325,773.1,505668.1748,0.744692807
1.175,26.59037442,3290,3080.3,474961.1976,0.188955015
1.195,25.98733319,5372,862.82,792455.3255,0.686775433
1.165,25.51864936,1699,3146.07,246964.9123,0.183511156
1.18,26.14804576,4436,1587.63,654220.998,0.368484596
1.165,25.6194352,4311,923.82,651221.9375,0.625618561
1.16,24.04069015,2161,738.13,328705.2118,0.780227435
1.225,29.28855838,3784,7451.82,490597.8976,0.081125769
1.155,22.72791984,428,617.36,65538.10618,0.929385971
1.155,22.71622846,305,739.62,46612.90253,0.775712679
1.16,25.02389703,3037,1182.39,458609.0858,0.486791632
1.17,26.0643853,4507,1331.16,673200.4868,0.435858589
1.21,26.38795775,5583,1342.19,806985.2312,0.446783749
1.16,23.88196157,753,1878.91,112238.9641,0.306349472
1.165,25.10627579,3266,1136.69,491463.643,0.508508655
1.16,24.73365368,2684,1127.03,405553.5139,0.510771564
1.155,22.48246254,67,701.77,10283.38805,0.817627708
1.155,23.87518602,1906,721.54,291273.9648,0.794831417
